countyFIPS,County Name,State,population
0,Statewide Unallocated,AR,0
5001,Arkansas County,AR,17486
5003,Ashley County,AR,19657
5005,Baxter County,AR,41932
5007,Benton County,AR,279141
5009,Boone County,AR,37432
5011,Bradley County,AR,10763
5013,Calhoun County,AR,5189
5015,Carroll County,AR,28380
5017,Chicot County,AR,10118
5019,Clark County,AR,22320
5021,Clay County,AR,14551
5023,Cleburne County,AR,24919
5025,Cleveland County,AR,7956
5027,Columbia County,AR,23457
5029,Conway County,AR,20846
5031,Craighead County,AR,110332
5033,Crawford County,AR,63257
5035,Crittenden County,AR,47955
5037,Cross County,AR,16419
5039,Dallas County,AR,7009
5041,Desha County,AR,11361
5043,Drew County,AR,18219
5045,Faulkner County,AR,126007
5047,Franklin County,AR,17715
5049,Fulton County,AR,12477
5051,Garland County,AR,99386
5053,Grant County,AR,18265
5055,Greene County,AR,45325
5057,Hempstead County,AR,21532
5059,Hot Spring County,AR,33771
5061,Howard County,AR,13202
5063,Independence County,AR,37825
5065,Izard County,AR,13629
5067,Jackson County,AR,16719
5069,Jefferson County,AR,66824
5071,Johnson County,AR,26578
5073,Lafayette County,AR,6624
5075,Lawrence County,AR,16406
5077,Lee County,AR,8857
5079,Lincoln County,AR,13024
5081,Little River County,AR,12259
5083,Logan County,AR,21466
5085,Lonoke County,AR,73309
5087,Madison County,AR,16576
5089,Marion County,AR,16694
5091,Miller County,AR,43257
5093,Mississippi County,AR,40651
5095,Monroe County,AR,6701
5097,Montgomery County,AR,8986
5099,Nevada County,AR,8252
5101,Newton County,AR,7753
5103,Ouachita County,AR,23382
5105,Perry County,AR,10455
5107,Phillips County,AR,17782
5109,Pike County,AR,10718
5111,Poinsett County,AR,23528
5113,Polk County,AR,19964
5115,Pope County,AR,64072
5117,Prairie County,AR,8062
5119,Pulaski County,AR,391911
5121,Randolph County,AR,17958
5123,St. Francis County,AR,24994
5125,Saline County,AR,122437
5127,Scott County,AR,10281
5129,Searcy County,AR,7881
5131,Sebastian County,AR,127827
5133,Sevier County,AR,17007
5135,Sharp County,AR,17442
5137,Stone County,AR,12506
5139,Union County,AR,38682
5141,Van Buren County,AR,16545
5143,Washington County,AR,239187
5145,White County,AR,78753
5147,Woodruff County,AR,6320
5149,Yell County,AR,21341
